x,w30
56.452,1.87
56.737,7.86
57.308,14.71
57.936,24.98
58.85,27.57
59.878,27.59
107.21,31.31
108.181,28.77
109.095,22.81
109.837,15.99
110.294,3.18

x,w90
56.452,6.14
57.708,44.63
58.793,67.74
59.935,77.17
60.905,83.17
61.762,84.9
62.732,86.64
64.502,87.53
100.816,91.84
102.643,90.17
104.527,86.8
106.354,78.3
108.467,50.15
110.065,-0.24

x,w150
56.223,1.01
57.251,31.8
58.45,58.33
59.706,85.71
61.362,110.53
63.361,130.24
66.101,143.98
68.956,147.47
74.38,147.6
83.915,147.84
92.936,148.06
97.79,145.61
100.587,137.99
103.499,124.38
106.183,99.66
108.352,62.96
110.179,0.61

x,w210
56.281,-0.7
59.25,77.15
61.305,122.5
63.075,155.87
65.473,184.14
67.7,199.58
70.383,207.34
73.581,206.56
81.232,206.75
89.225,205.23
94.421,199.38
99.046,182.39
102.586,154.28
105.783,111.62
108.638,55.28
110.122,2.32

x,w270
56.109,-1.56
57.765,40.36
58.793,66.88
59.992,99.39
61.762,137.89
64.388,182.4
66.729,215.79
69.927,246.64
74.323,261.28
79.119,261.39
83.515,260.65
88.711,253.94
93.393,237.81
98.018,208.01
100.93,179.88
103.956,140.63
106.811,92.84
109.209,40.76
110.179,-0.24

x,w330
56.223,-0.7
56.794,20.68
58.279,57.47
59.763,94.26
61.591,138.74
63.189,170.41
65.073,203.79
67.072,232.04
69.299,260.3
71.183,277.44
74.608,298.89
77.692,304.1
81.117,301.61
85.971,289.77
90.139,271.92
93.964,248.08
98.361,214.86
101.387,181.6
104.07,144.06
107.838,77.48
110.065,-1.1
