x,w30
110.125,-0.135
108.972,1.928
105.355,2.153
96.11,2.312
72.224,2.783
59.363,2.872
57.871,2.432
56.955,1.255
56.096,0.005

x,w90
110.125,-0.062
108.567,3.695
106.554,5.464
104.026,6.498
100.407,7.092
92.426,7.469
82.951,7.849
73.477,8.155
67.391,8.457
62.682,8.463
60.559,7.877
58.839,6.701
57.867,4.641
55.981,-0.069

x,w150
110.182,-0.062
108.97,3.326
107.127,6.347
104.366,9.001
101.607,10.477
97.126,11.513
89.89,12.258
82.253,12.783
73.812,13.382
68.299,13.83
64.568,13.172
61.758,11.188
60.097,9.129
58.324,5.671
56.895,2.36
56.038,0.005

x,w210
110.124,0.012
109.373,2.516
107.874,5.61
105.629,8.778
102.177,12.316
99.188,14.234
95.626,15.637
88.905,16.971
83.392,17.566
77.018,18.31
72.194,18.832
68.404,18.689
65.708,17.662
63.187,14.867
61.641,12.366
60.154,9.644
58.839,6.848
57.295,3.39
55.981,-0.069

x,w270
110.067,-0.061
109.316,2.516
107.068,6.789
104.478,10.179
101.314,13.643
98.783,16.075
94.184,19.026
87.461,21.61
80.569,22.797
76.434,23.391
73.333,23.542
71.095,23.029
68.858,21.854
66.908,20.311
63.987,16.707
61.983,13.691
60.21,10.233
58.895,7.216
57.294,3.684
55.923,0.005

x,w330
110.067,-0.061
109.547,1.632
108.278,4.873
106.204,8.336
103.729,11.505
101.601,13.716
99.76,15.632
96.884,18.286
92.859,21.236
89.813,22.933
86.192,24.704
82.63,25.96
79.643,26.7
76.599,26.924
74.934,26.779
72.467,25.899
70.173,24.65
68.224,22.812
66.219,20.679
64.73,18.399
63.185,15.972
61.811,13.544
60.439,10.748
59.067,7.584
57.409,3.979
55.924,-0.069
