x,w30
110.116,-0.037
110.114,2.648
109.839,5.157
109.066,6.616
108.067,7.142
106.887,7.025
105.616,6.441
104.891,5.799
104.21,4.924
103.258,4.107
102.351,3.406
100.99,2.356
99.538,2.123
97.677,2.006
94.954,1.597
91.958,1.539
88.69,1.481
84.106,1.072
80.248,0.78
75.709,0.43
72.169,0.022
68.628,0.022
61.366,-0.037
53.014,-0.037

x,w90
110.116,0.022
110.022,3.582
109.702,6.208
108.655,8.659
106.884,9.476
104.932,9.768
102.708,9.418
100.439,8.892
97.081,7.725
93.587,6.441
89.867,5.216
86.009,4.224
81.471,3.523
76.887,2.998
72.121,2.239
67.537,1.656
63.861,1.364
61.047,0.897
56.736,0.022
53.059,0.022

x,w150
110.116,0.022
110.068,3.231
109.474,7.258
107.883,9.476
105.885,10.468
104.023,10.76
101.981,10.877
99.938,10.76
97.442,10.585
94.719,10.06
91.497,9.184
88.774,8.192
85.598,7.2
82.058,6.208
77.338,5.216
72.8,4.165
68.217,3.348
64.586,2.531
61.001,1.481
56.781,0.022
53.014,0.022

x,w210
110.071,-0.037
110.16,1.947
109.974,5.683
108.428,8.776
105.294,11.052
102.615,11.519
99.12,12.102
95.761,12.219
92.13,11.927
87.546,11.11
82.917,9.651
78.38,8.192
73.569,6.85
67.761,4.865
62.997,2.998
56.781,0.138
52.968,0.197

x,w270
110.116,-0.037
110.113,3.406
109.656,6.791
107.383,9.826
106.656,10.293
103.569,11.694
101.298,12.452
97.53,13.561
94.533,13.97
90.902,14.086
88.406,13.911
86.046,13.444
83.868,12.686
81.553,11.927
79.33,10.993
77.107,10.118
74.702,9.242
72.297,8.017
65.673,4.865
56.509,0.022
53.014,0.08

x,w330
110.071,0.022
110.113,3.582
109.792,6.5
108.428,8.951
105.703,10.935
102.796,12.277
97.802,13.795
92.218,14.903
89.948,15.137
87.724,15.079
85.409,14.787
83.004,14.32
80.69,13.503
78.33,12.861
76.288,11.635
74.065,10.468
72.069,9.184
69.756,7.608
67.805,6.441
65.673,5.216
63.541,3.99
56.69,0.197
52.877,0.138
