x,w30
109.827,0.038
109.875,-3.852
109.01,-5.561
99.659,-0.606
94.095,0.265
85.567,1.264
74.942,1.983
62.083,2.56
58.937,2.687
57.068,2.068
55.929,0.153

x,w90
109.781,0.038
109.693,-3.853
108.919,-5.63
106.091,-4.614
97.745,-1.977
90.811,1.211
83.879,3.17
77.905,4.176
70.79,5.793
64.36,6.525
60.621,6.787
59.208,6.442
57.568,4.253
55.747,0.016

x,w150
109.827,0.038
109.921,-3.989
109.01,-5.629
104.494,-3.049
93.228,1.081
89.077,2.707
78.268,6.566
69.1,9.61
63.309,9.935
61.623,8.838
60.073,7.673
58.296,5.347
56.657,2.271
55.838,-0.052

x,w210
109.872,0.106
109.693,-4.058
108.919,-5.834
103.581,-1.96
97.787,1.777
92.999,2.992
86.978,4.953
81.869,7.123
75.757,9.766
70.649,11.663
66.407,12.674
63.262,11.368
60.893,9.313
58.843,6.031
56.885,2.818
55.747,-0.12

x,w270
109.872,-0.099
109.511,-4.126
108.874,-5.835
100.935,0.08
95.096,3.066
88.711,5.436
84.696,7.404
80.317,9.643
74.707,12.22
70.738,13.779
68.048,13.907
65.586,13.218
63.307,11.709
60.392,8.356
57.978,4.8
55.838,-0.052

x,w330
109.872,-0.03
109.648,-4.399
109.011,-6.107
103.261,-1.21
95.689,3.409
89.394,6.121
84.696,8.223
78.537,11.549
75.846,13.111
73.383,14.332
71.239,14.94
69.096,14.866
66.862,14.109
63.581,12.12
60.756,9.177
58.388,5.552
57.25,2.955
55.565,-0.394
