x,w30
110.122,13.665
108.581,36.651
107.211,60.264
106.355,75.1
104.414,99.968
102.358,116.271
100.929,120.664
100.072,121.921
99.272,122.342
98.357,121.511
97.157,120.053
96.128,118.386
93.727,114.009
90.011,105.668
82.808,88.568
76.92,74.178
72.233,61.872
68.059,49.355
64.858,39.341
59.77,28.29
56.168,16.397

x,w90
110.179,12.829
107.266,37.075
105.324,49.408
102.867,60.909
100.01,69.695
96.81,75.348
93.153,77.871
88.466,74.965
84.179,69.134
78.291,59.131
74.118,51.21
69.83,43.08
65.715,35.368
62.513,29.323
60.113,26.826
57.94,21.821
56.054,16.398

x,w150
110.065,13.248
108.352,28.923
104.181,45.444
100.695,52.561
95.78,58.013
91.551,57.822
86.864,55.962
82.119,51.385
77.489,44.929
72.916,38.054
69.029,32.22
65.771,28.474
62.742,27.024
60.284,26.825
57.369,20.988
56.054,16.607

x,w210
110.236,13.038
107.666,30.597
104.352,39.176
99.151,46.509
94.407,47.365
89.263,45.715
84.348,41.348
79.032,37.193
73.544,30.948
69.029,28.46
65.428,29.52
62.857,31.62
60.399,29.75
57.426,22.241
55.997,16.398

x,w270
110.236,12.411
107.723,32.686
105.552,37.709
101.494,40.65
97.665,41.293
93.207,40.476
88.062,39.035
81.718,34.048
75.659,29.686
71.372,28.659
67.429,32.645
64.057,34.33
61.542,31.416
59.084,26.83
55.768,16.19

x,w330
110.236,12.62
108.694,24.116
106.409,35.198
103.151,40.225
98.122,39.411
93.663,36.923
88.862,33.182
83.146,30.072
78.46,28.421
73.83,30.111
70.744,34.302
67.429,35.988
64.4,35.165
61.942,32.041
56.911,19.946
55.939,16.398
